Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,VAR_official,AVAR_official,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,Atp_off_T1,Atp_off_T2,Svs_T1,Svs_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,PssC_T1,PssC_T2,PssC_%_T1,PssC_%_T2,LngP_T1,LngP_T2,MdmP_T1,MdmP_T2,ShrP_T1,ShrP_T2,KPss_T1,KPss_T2,Rcv_T1,Rcv_T2,CntA_T1,CntA_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Crs_Cmp_NrCrn_l_T1,Crs_Cmp_NrCrn_r_T1,Crs_Cmp_FnlThr_l_T1,Crs_Cmp_FnlThr_r_T1,Crs_Cmp_BfrFnlThr_l_T1,Crs_Cmp_BfrFnlThr_r_T1,Crs_Cmp_NrCrn_l_T2,Crs_Cmp_NrCrn_r_T2,Crs_Cmp_FnlThr_l_T2,Crs_Cmp_FnlThr_r_T2,Crs_Cmp_BfrFnlThr_l_T2,Crs_Cmp_BfrFnlThr_r_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2019-2020,20,SASSUOLO,TORINO,18/01/2020,STADIUM MAPEI STADIUM,18:00:00,DAVIDE  MASSA,STEFANO  ALASSIO,PASQUALE  CAPALDO,MANUEL  VOLPI,LUIGI  NASCA,FILIPPO MELI,2,1,H,ROBERTO DE ZERBI,WALTER MAZZARRI,4-2-3-1,3-4-2-1,94'46,42'16,0.45,23'05 (55%),11'55 (52%),11'10 (48%),19'11 (45%),10'43 (56%),8'28 (44%),3'52,5'06,2'17,4'25,3'46,3'39,2'32,4'03,3'27,2'15,1'11,5'43,7,7,6(2),3(0),0,0,3,3,1,4,2,4,4,6,1,0,0,0,13,6,13,15,370,287,0.81,0.74,19,27,99,105,252,155,0,6,28,17,22,27,0 (0),0 (0),107.942,27.026,71.806,9.11,104.721,28.427,66.481,9.813,6.6,6.4,21 (34%),10 (17%),30 (49%),23 (42%),11 (20%),21 (38%),0/2,0/0,1/1,1/2,0/0,0/0,1/3,0/0,3/6,0/1,0/0,0/0,JEREMIE BOGA,7,ANDREA BELOTTI,9,2.55,3.5,2.7
2019-2020,20,NAPOLI,FIORENTINA,18/01/2020,STADIUM SAN PAOLO,20:45:00,FABRIZIO  PASQUA,GIACOMO  PAGANESSI,VALERIO  COLAROSSI,ROSARIO  ABISSO,MICHAEL  FABBRI,DANIELE BINDONI,0,2,A,GENNARO GATTUSO,GIUSEPPE IACHINI,4-3-3,3-5-2,96'00,58'57,0.61,36'24 (62%),12'54 (35%),23'30 (65%),22'33 (38%),12'10 (54%),10'23 (46%),6'55,4'28,7'02,4'45,5'39,7'35,3'18,3'36,5'13,3'58,3'07,3'21,10,9,5(0),5(2),0,0,3,5,5,4,3,4,3,6,0,2,2,2,4,5,7,10,563,213,0.86,0.72,26,27,186,73,351,113,2,3,33,64,9,10,0 (0),0 (0),117.445,27.257,80.612,9.576,117.046,26.86,80.812,9.374,7.0,7.1,37 (49%),8 (11%),30 (40%),14 (42%),5 (16%),14 (42%),0/1,0/1,2/5,2/7,0/0,0/0,2/3,0/1,5/7,1/3,0/0,0/0,LORENZO INSIGNE,24,FEDERICO CHIESA,25,1.61,4.1,5.5
2019-2020,20,MILAN,UDINESE,19/01/2020,STADIUM GIUSEPPE MEAZZA,12:30:00,LUCA  PAIRETTO,PASQUALE  DE MEO,ANTONIO  SANTORO,ALESSANDRO  PRONTERA,GIANPAOLO  CALVARESE,DAMIANO DI IORIO,3,2,H,STEFANO PIOLI,LUCA GOTTI,4-4-2,3-5-2,93'49,46'45,0.5,26'22 (56%),10'48 (41%),15'34 (59%),20'23 (44%),10'57 (54%),9'26 (46%),3'58,4'17,5'44,3'26,4'51,4'06,3'15,2'57,2'51,2'55,4'08,4'17,19,10,10(3),7(2),0,0,9,2,9,3,5,6,12,8,1,1,1,1,9,3,17,8,344,315,0.81,0.79,28,31,127,89,189,195,9,5,61,57,14,21,0 (0),0 (0),107.499,28.064,69.15,10.285,105.432,26.883,68.94,9.609,6.7,6.6,27 (51%),10 (19%),16 (30%),25 (54%),5 (11%),16 (35%),0/1,0/0,4/4,3/5,0/0,0/0,2/2,0/0,1/3,2/6,0/0,0/0,ANTE REBIC,18,JENS STRYGER LARSEN,19,1.53,4.0,7.0
2019-2020,20,BOLOGNA,HELLAS VERONA,19/01/2020,STADIUM RENATO DALL'ARA,15:00:00,GIOVANNI  AYROLDI,STEFANO  DEL GIOVANE,ALESSIO  TOLFO,MAURIZIO  MARIANI,PAOLO SILVIO  MAZZOLENI,ALEANDRO DI PAOLO,1,1,D,SINISA MIHAJLOVIC,IVAN JURIC,4-2-3-1,3-4-2-1,98'40,45'05,0.46,20'00 (44%),12'24 (62%),7'36 (38%),25'05 (56%),15'01 (60%),10'04 (40%),4'49,1'46,5'11,1'33,1'50,4'51,2'05,3'11,4'26,5'50,2'58,6'34,5,11,3(1),8(1),0,0,2,4,2,3,10,1,4,6,0,1,2,3,3,8,20,16,247,340,0.7,0.77,25,19,81,136,141,185,2,5,100,120,27,28,0 (0),0 (0),107.226,27.135,71.457,8.634,110.084,28.659,71.545,9.88,6.4,6.5,15 (38%),16 (39%),9 (23%),24 (43%),10 (18%),22 (39%),0/3,0/1,0/0,0/2,0/0,0/0,4/7,3/5,2/5,1/2,0/0,0/0,NICOLAS DOMINGUEZ,8,DARKO LAZOVIC,88,1.9,3.5,4.2
2019-2020,20,BRESCIA,CAGLIARI,19/01/2020,STADIUM MARIO RIGAMONTI,15:00:00,ANTONIO  GIUA,MATTEO  PASSERI,ENRICO  CALIARI,NICCOLO'  BARONI,LUCA  BANTI,LUCA MONDIN,2,2,D,EUGENIO CORINI,ROLANDO MARAN,4-3-1-2,4-3-2-1,95'22,45'48,0.48,22'56 (50%),14'16 (62%),8'40 (38%),22'52 (50%),10'47 (47%),12'05 (53%),4'06,3'12,5'36,3'21,3'01,3'40,3'04,2'06,3'33,4'21,3'32,6'16,9,18,6(2),10(2),0,1,4,9,3,8,8,3,7,9,2,1,2,0,2,7,10,18,308,406,0.77,0.82,38,21,69,165,201,220,3,7,68,65,12,15,0 (0),1 (1),102.915,23.538,70.196,9.181,101.091,25.772,66.338,8.981,6.8,6.6,10 (23%),7 (17%),26 (60%),18 (31%),18 (31%),22 (38%),1/2,2/2,2/3,4/4,0/0,0/0,0/1,2/2,1/3,2/4,0/0,0/0,ERNESTO TORREGROSSA,11,JOAO PEDRO,10,2.45,3.6,2.7
2019-2020,20,LECCE,INTER,19/01/2020,STADIUM ETTORE GIARDINIERO - VIA DEL MARE,15:00:00,PIERO  GIACOMELLI,STEFANO  LIBERTI,MATTEO  BOTTEGONI,VALERIO  MARINI,MARCO  GUIDA,VALENTINO FIORITO,1,1,D,FABIO LIVERANI,ANTONIO CONTE,5-3-2,3-5-2,98'21,59'02,0.6,23'09 (39%),17'02 (74%),6'07 (26%),35'53 (61%),12'28 (35%),23'25 (65%),3'18,2'33,4'50,4'39,4'36,3'13,5'42,5'03,7'49,4'34,6'27,6'17,8,16,3(1),10(1),1,0,2,5,5,6,9,1,3,10,1,1,0,1,3,14,11,9,273,574,0.74,0.89,27,38,105,229,141,307,1,8,57,85,12,14,0 (0),0 (0),115.024,26.672,81.358,6.994,117.838,25.773,83.262,8.803,6.9,7.0,9 (36%),4 (16%),12 (48%),32 (42%),21 (28%),23 (30%),1/1,1/1,5/6,4/4,0/0,1/1,2/2,1/1,10/13,6/7,1/1,5/5,MARCO MANCOSU,8,MARCELO BROZOVIC,77,11.0,5.25,1.3
2019-2020,20,GENOA,ROMA,19/01/2020,STADIUM LUIGI FERRARIS,18:00:00,FABIO  MARESCA,SALVATORE  LONGO,FILIPPO  VALERIANI,MARCO  PICCININI,GIANLUCA  ROCCHI,DARIO CECCONI,1,3,A,DAVIDE NICOLA,PAULO FONSECA,3-5-2,4-2-3-1,95'58,54'01,0.56,23'15 (43%),12'41 (55%),10'34 (45%),30'46 (57%),14'44 (48%),16'02 (52%),2'49,2'42,3'14,4'14,3'56,6'20,6'41,6'43,4'56,3'54,2'55,5'37,9,14,8(1),7(2),0,0,8,3,1,7,5,8,7,5,1,1,0,1,7,3,12,13,295,420,0.75,0.85,20,28,90,174,185,218,5,2,144,135,17,18,0 (0),0 (0),115.675,26.346,80.191,9.138,114.169,27.755,77.243,9.171,7.0,6.9,22 (50%),7 (16%),15 (34%),19 (40%),11 (22%),18 (38%),1/2,0/0,4/5,1/5,0/0,0/0,1/1,0/0,1/2,0/3,0/0,0/0,GORAN PANDEV,19,LORENZO PELLEGRINI,7,4.2,3.4,1.95
2019-2020,20,JUVENTUS,PARMA,19/01/2020,STADIUM ALLIANZ STADIUM,20:45:00,MARCO  DI BELLO,GIORGIO  SCHENONE,VALERIO  VECCHI,DAVIDE  GHERSINI,PAOLO  VALERI,ALBERTO TEGONI,2,1,H,MAURIZIO SARRI,ROBERTO D'AVERSA,4-3-1-2,4-3-3,96'34,53'45,0.56,32'10 (60%),12'19 (38%),19'51 (62%),21'35 (40%),13'14 (61%),8'21 (39%),5'59,4'23,6'49,3'46,6'51,4'22,3'42,2'48,3'47,2'38,3'28,5'12,14,8,6(2),7(1),0,0,6,2,8,1,5,3,8,3,2,1,1,0,10,6,13,11,595,303,0.89,0.77,28,55,155,100,412,148,5,2,121,54,14,13,0 (0),0 (0),112.534,27.705,76.262,8.567,115.33,27.241,80.503,7.586,6.7,6.9,22 (35%),12 (19%),29 (46%),8 (24%),7 (20%),19 (56%),0/0,1/3,4/7,0/2,0/0,0/0,1/1,1/3,1/1,2/2,0/0,0/0,CRISTIANO RONALDO,7,ANDREAS CORNELIUS,11,1.22,6.5,13.0
2019-2020,20,ATALANTA,SPAL,20/01/2020,STADIUM GEWISS STADIUM,20:45:00,FEDERICO  LA PENNA,DAVIDE  IMPERIALE,TARCISIO  VILLA,GIANLUCA  AURELIANO,DANIELE  DOVERI,SERGIO RANGHETTI,1,2,A,GIAN PIERO GASPERINI,LEONARDO SEMPLICI,3-4-1-2,3-5-2,97'31,50'50,0.52,28'35 (56%),14'34 (51%),14'01 (49%),22'15 (44%),11'59 (54%),10'16 (46%),4'58,4'27,3'40,3'24,4'07,7'59,3'22,4'41,4'49,3'47,2'02,3'33,14,13,8(1),7(2),0,0,8,5,6,6,3,6,9,4,1,2,3,1,8,4,15,18,424,305,0.82,0.79,51,21,184,84,186,199,8,2,65,85,25,12,0 (0),0 (0),113.397,28.564,74.401,10.432,119.512,26.52,81.833,11.159,6.9,7.3,21 (34%),14 (22%),27 (44%),17 (39%),11 (25%),16 (36%),0/0,0/1,4/5,2/3,0/0,0/0,1/2,0/1,5/6,1/3,0/0,0/0,JOSIP ILICIC,72,MATTIA VALOTI,8,1.2,7.5,12.0
2019-2020,21,BRESCIA,MILAN,24/01/2020,STADIUM MARIO RIGAMONTI,20:45:00,PAOLO  VALERI,DANIELE  BINDONI,EMANUELE  PRENNA,ANTONIO  GIUA,MARCO  DI BELLO,SALVATORE LONGO,0,1,A,EUGENIO CORINI,STEFANO PIOLI,4-3-1-2,4-4-2,94'10,46'27,0.49,23'20 (50%),12'54 (55%),10'26 (45%),23'07 (50%),12'27 (54%),10'40 (46%),4'19,2'52,4'12,4'26,3'07,4'23,6'03,4'53,2'53,2'32,4'03,2'43,13,10,7(0),5(1),0,0,7,5,6,5,3,7,8,5,0,0,3,2,7,3,12,15,341,340,0.79,0.78,31,26,121,93,189,221,7,2,117,80,16,19,0 (0),0 (0),115.509,23.876,79.679,11.954,112.305,25.458,74.404,12.443,7.4,7.2,21 (38%),3 (5%),32 (57%),21 (45%),9 (19%),17 (36%),1/1,3/3,0/3,1/5,0/0,0/1,1/1,3/3,2/3,2/2,0/0,0/0,ERNESTO TORREGROSSA,11,ANTE REBIC,18,5.0,4.0,1.66
2019-2020,21,SPAL,BOLOGNA,25/01/2020,STADIUM PAOLO MAZZA,15:00:00,MICHAEL  FABBRI,ALESSANDRO  COSTANZO,FILIPPO  VALERIANI,LUCA  PAIRETTO,DAVIDE  MASSA,MAURO VIVENZI,1,3,A,LEONARDO SEMPLICI,SINISA MIHAJLOVIC,3-5-2,4-2-3-1,96'09,41'05,0.43,22'43 (55%),8'31 (37%),14'12 (63%),18'22 (45%),8'25 (46%),9'57 (54%),3'20,2'23,3'06,3'52,3'28,6'34,2'18,2'35,5'48,1'59,2'31,3'11,9,12,5(1),6(2),2,0,3,5,4,6,4,3,4,8,0,1,1,2,5,9,16,16,341,255,0.8,0.72,20,15,145,81,176,159,2,3,73,55,30,23,1 (1),0 (0),106.653,26.589,70.338,9.726,109.417,24.81,73.379,11.228,6.8,7.0,22 (34%),18 (28%),24 (38%),16 (34%),7 (15%),24 (51%),1/1,0/2,1/3,0/3,0/0,0/0,0/0,0/2,0/1,0/2,0/0,0/0,ANDREA PETAGNA,37,MUSA BARROW,99,3.0,3.4,2.3
2019-2020,21,FIORENTINA,GENOA,25/01/2020,STADIUM ARTEMIO FRANCHI,18:00:00,DANIELE  ORSATO,ENRICO  CALIARI,FRANCESCO  FIORE,MASSIMILIANO  IRRATI,PIERO  GIACOMELLI,ALESSANDRO LO CICERO,0,0,D,GIUSEPPE IACHINI,DAVIDE NICOLA,3-5-2,3-5-2,97'02,57'23,0.59,25'47 (45%),13'41 (53%),12'06 (47%),31'36 (55%),23'08 (73%),8'28 (27%),5'05,4'21,5'41,2'53,2'38,5'09,3'16,5'10,5'28,7'19,3'41,6'41,15,8,6(0),6(0),0,1,3,5,9,2,7,4,7,3,0,0,1,0,7,6,18,21,291,373,0.78,0.8,36,36,132,163,123,174,5,2,145,60,23,11,0 (0),1 (0),109.137,27.303,72.931,8.903,111.757,26.649,76.562,8.546,6.7,6.8,18 (33%),7 (13%),29 (54%),9 (26%),4 (11%),22 (63%),0/0,2/2,3/5,3/5,0/0,1/1,1/3,2/2,1/1,5/8,0/0,0/0,BARTLOMIEJ DRAGOWSKI,69,ANTONIO BARRECA,3,1.72,3.75,5.0
2019-2020,21,TORINO,ATALANTA,25/01/2020,STADIUM OLIMPICO GRANDE TORINO,20:45:00,MARCO  GUIDA,DARIO  CECCONI,DOMENICO  ROCCA,LIVIO  MARINELLI,FABIO  MARESCA,RODOLFO DI VUOLO,0,7,A,WALTER MAZZARRI,GIAN PIERO GASPERINI,3-4-2-1,3-4-1-2,90'40,46'33,0.51,21'32 (46%),10'23 (48%),11'09 (52%),25'01 (54%),10'52 (43%),14'09 (57%),3'27,5'00,3'20,4'55,3'03,1'47,4'32,3'45,5'36,3'03,4'12,3'53,6,17,4(0),15(7),0,3,4,12,2,2,7,4,3,14,0,3,1,0,4,12,17,12,261,359,0.76,0.79,36,15,102,122,123,222,3,6,90,57,22,28,0 (0),2 (2),99.618,26.748,64.089,8.781,103.601,27.464,66.883,9.254,6.5,6.7,28 (57%),9 (19%),12 (24%),19 (32%),14 (23%),27 (45%),2/3,0/2,2/5,0/0,0/0,0/0,2/2,0/2,1/1,2/3,0/1,0/0,ANDREA BELOTTI,9,JOSIP ILICIC,72,4.33,4.2,1.7
2019-2020,21,INTER,CAGLIARI,26/01/2020,STADIUM GIUSEPPE MEAZZA,12:30:00,GIANLUCA  MANGANIELLO,FABIANO  PRETI,MARCO  BRESMES,IVANO  PEZZUTO,LUCA  BANTI,SERGIO RANGHETTI,1,1,D,ANTONIO CONTE,ROLANDO MARAN,3-5-2,4-3-2-1,98'03,58'37,0.6,24'27 (42%),12'59 (53%),11'28 (47%),34'10 (58%),20'18 (59%),13'52 (41%),2'57,4'47,4'44,3'26,2'45,5'47,6'01,4'45,6'57,5'56,6'04,4'27,14,8,5(1),3(1),0,0,5,1,9,5,2,4,9,5,1,1,5,1,4,6,10,10,337,483,0.83,0.84,25,43,143,199,169,241,3,3,116,33,16,8,0 (0),0 (0),117.219,26.297,82.386,8.536,111.985,29.304,73.471,9.21,6.9,6.7,18 (35%),12 (24%),21 (41%),23 (44%),7 (14%),22 (42%),0/0,0/0,1/2,1/1,0/0,1/1,0/1,0/0,5/7,4/9,0/0,0/0,ROMELU LUKAKU,9,RADJA NAINGGOLAN,4,1.3,5.5,10.0
2019-2020,21,HELLAS VERONA,LECCE,26/01/2020,STADIUM MARCANTONIO BENTEGODI,15:00:00,ROSARIO  ABISSO,GIACOMO  PAGANESSI,SALVATORE  AFFATATO,RICCARDO  ROS,DANIELE  CHIFFI,ALESSIO TOLFO,3,0,H,IVAN JURIC,FABIO LIVERANI,3-4-2-1,5-3-2,96'10,48'52,0.51,30'41 (63%),17'41 (58%),13'00 (42%),18'11 (37%),13'21 (73%),4'50 (27%),6'46,3'37,5'11,4'06,6'03,4'58,2'21,1'48,4'46,3'57,2'27,2'52,9,3,5(3),1(0),1,0,4,0,4,2,0,2,8,2,2,0,1,1,5,0,16,11,501,281,0.85,0.75,22,26,165,118,314,137,4,2,53,36,7,12,1 (1),0 (0),114.185,26.698,77.112,10.375,108.942,25.727,74.0,9.215,7.0,6.8,26 (59%),6 (14%),12 (27%),9 (26%),14 (40%),12 (34%),2/5,0/0,4/5,0/0,0/0,0/0,0/0,0/0,2/2,1/1,0/1,0/0,MATTEO PESSINA,32,GIANLUCA LAPADULA,9,1.6,4.0,5.5
2019-2020,21,PARMA,UDINESE,26/01/2020,STADIUM ENNIO TARDINI,15:00:00,SIMONE  SOZZA,CIRO  CARBONE,VALENTINO  FIORITO,DANIELE  DOVERI,LUIGI  NASCA,LUCA MONDIN,2,0,H,ROBERTO D'AVERSA,LUCA GOTTI,4-3-3,5-3-2,96'47,46'27,0.48,23'13 (50%),13'01 (56%),10'12 (44%),23'14 (50%),10'33 (45%),12'41 (55%),4'49,4'06,4'32,3'50,2'32,3'23,5'12,3'02,3'15,3'25,3'38,4'42,10,15,5(2),5(0),0,1,3,4,5,10,4,3,6,7,1,0,0,1,5,11,12,9,343,334,0.82,0.8,42,24,122,119,179,191,2,4,93,72,24,23,0 (0),0 (0),109.058,25.554,74.902,8.602,112.147,25.991,76.458,9.698,7.0,6.9,15 (32%),7 (15%),25 (53%),28 (44%),13 (21%),22 (35%),0/1,0/1,1/3,0/1,0/0,0/1,1/2,0/1,0/2,4/9,0/0,0/0,DEJAN KULUSEVSKI,44,ROLANDO MANDRAGORA,38,2.37,3.25,3.1
2019-2020,21,SAMPDORIA,SASSUOLO,26/01/2020,STADIUM LUIGI FERRARIS,15:00:00,MARCO  PICCININI,ALBERTO  TEGONI,GIOVANNI  BACCINI,FEDERICO  DIONISI,ALEANDRO  DI PAOLO,STEFANO LIBERTI,0,0,D,CLAUDIO RANIERI,ROBERTO DE ZERBI,4-4-2,4-2-3-1,96'42,58'33,0.61,29'24 (50%),10'30 (36%),18'54 (64%),29'09 (50%),20'26 (70%),8'43 (30%),4'21,2'16,5'33,5'22,3'59,7'53,6'30,4'28,7'09,4'02,4'47,2'12,15,6,5(0),2(0),0,0,4,2,10,4,1,5,6,4,0,0,2,0,6,3,16,9,375,430,0.82,0.82,30,19,134,138,211,273,6,4,66,38,29,17,0 (0),0 (0),109.983,29.208,72.32,8.455,104.746,26.309,70.815,7.622,6.6,6.7,33 (47%),13 (19%),24 (34%),23 (56%),2 (5%),16 (39%),2/6,0/2,5/8,3/6,1/1,0/0,0/1,0/2,0/2,0/0,0/0,0/0,TOMMASO AUGELLO,3,FRANCESCO CAPUTO,9,2.2,3.4,3.3
2019-2020,21,ROMA,LAZIO,26/01/2020,STADIUM OLIMPICO,18:00:00,GIANPAOLO  CALVARESE,GIORGIO  PERETTI,STEFANO  ALASSIO,FABRIZIO  PASQUA,PAOLO SILVIO  MAZZOLENI,GIORGIO SCHENONE,1,1,D,PAULO FONSECA,SIMONE INZAGHI,4-2-3-1,3-5-2,94'04,57'26,0.61,38'35 (67%),21'22 (55%),17'13 (45%),18'51 (33%),14'01 (74%),4'50 (26%),6'05,8'09,6'50,5'16,4'49,7'26,2'54,3'18,2'57,3'30,2'44,3'28,16,3,7(1),2(1),0,0,5,2,9,1,1,3,8,2,1,0,1,3,7,1,11,12,531,218,0.89,0.75,42,22,157,93,332,103,5,1,49,74,18,12,0 (0),0 (0),109.926,27.796,73.735,8.395,109.552,24.534,76.68,8.338,6.6,6.7,23 (37%),11 (18%),28 (45%),16 (62%),6 (23%),4 (15%),0/1,0/2,3/5,3/5,0/0,1/2,0/1,0/2,0/2,0/0,0/0,0/0,EDIN DZEKO,9,FRANCESCO ACERBI,33,2.8,3.6,2.4
2019-2020,21,NAPOLI,JUVENTUS,26/01/2020,STADIUM SAN PAOLO,20:45:00,MAURIZIO  MARIANI,LORENZO  MANGANELLI,ALESSANDRO  GIALLATINI,FEDERICO  LA PENNA,GIANLUCA  ROCCHI,STEFANO DEL GIOVANE,2,1,H,GENNARO GATTUSO,MAURIZIO SARRI,4-3-3,4-3-1-2,95'18,54'54,0.58,25'46 (47%),16'20 (63%),9'26 (37%),29'08 (53%),13'49 (47%),15'19 (53%),4'21,4'25,4'22,3'55,4'24,4'19,5'22,5'47,4'50,4'30,2'13,6'26,11,6,4(2),4(1),0,0,3,4,7,2,4,2,4,4,1,1,1,3,3,2,14,14,471,441,0.84,0.87,47,15,152,162,272,264,1,3,65,41,7,18,0 (0),0 (0),110.541,26.787,75.253,8.501,107.638,27.807,71.051,8.78,6.9,6.5,16 (48%),3 (10%),14 (42%),25 (50%),7 (14%),18 (36%),0/1,3/3,2/3,1/2,0/0,1/1,0/0,3/3,4/5,5/5,0/0,0/0,LORENZO INSIGNE,24,CRISTIANO RONALDO,7,3.6,3.6,2.05
2019-2020,22,BOLOGNA,BRESCIA,01/02/2020,STADIUM RENATO DALL'ARA,15:00:00,DANIELE  DOVERI,ALESSANDRO  GIALLATINI,NICCOLO'  PAGLIARDINI,MARCO  SERRA,ROSARIO  ABISSO,LORENZO MANGANELLI,2,1,H,SINISA MIHAJLOVIC,EUGENIO CORINI,4-2-3-1,4-3-1-2,98'16,49'29,0.5,32'19 (65%),10'59 (34%),21'20 (66%),17'10 (35%),7'43 (45%),9'27 (55%),5'46,5'27,4'48,5'03,5'38,5'37,2'29,2'57,2'27,3'30,2'53,2'53,11,2,7(2),1(1),0,1,6,1,4,1,0,4,9,1,2,0,0,2,6,3,17,14,449,233,0.85,0.7,42,35,173,71,234,127,6,0,72,47,33,25,0 (0),1 (1),112.716,27.615,76.66,8.441,113.363,27.563,77.073,8.727,6.6,6.7,27 (44%),4 (6%),31 (50%),12 (31%),9 (23%),18 (46%),0/0,1/2,3/4,1/2,0/0,1/3,0/0,1/2,1/2,0/1,0/0,1/1,MATTIA BANI,13,ERNESTO TORREGROSSA,11,1.66,4.0,5.0
2019-2020,22,CAGLIARI,PARMA,01/02/2020,STADIUM SARDEGNA ARENA,18:00:00,MASSIMILIANO  IRRATI,STEFANO  DEL GIOVANE,LORENZO  GORI,ALESSANDRO  PRONTERA,GIANLUCA  AURELIANO,ALESSANDRO COSTANZO,2,2,D,ROLANDO MARAN,ROBERTO D'AVERSA,4-3-2-1,4-3-3,97'14,41'58,0.43,23'36 (56%),14'16 (60%),9'20 (40%),18'22 (44%),9'57 (54%),8'25 (46%),5'02,3'20,3'24,4'38,3'59,3'13,3'11,3'34,3'28,1'36,3'01,3'32,16,12,11(2),5(2),0,0,10,4,5,7,2,7,11,5,2,2,2,0,8,7,16,14,317,278,0.75,0.76,39,31,134,112,144,135,5,2,69,55,23,22,1 (0),0 (0),103.284,27.424,67.082,8.778,100.273,24.974,67.152,8.147,6.5,6.5,25 (47%),5 (10%),23 (43%),30 (48%),11 (17%),22 (35%),0/0,0/1,1/3,0/0,0/0,0/0,0/0,0/1,3/8,1/2,0/0,0/0,GIOVANNI SIMEONE,99,JURAJ KUCKA,33,1.85,3.75,4.0
2019-2020,22,SASSUOLO,ROMA,01/02/2020,STADIUM MAPEI STADIUM,20:45:00,LUCA  PAIRETTO,GIORGIO  SCHENONE,VALERIO  VECCHI,EUGENIO  ABBATTISTA,PIERO  GIACOMELLI,FABIANO PRETI,4,2,H,ROBERTO DE ZERBI,PAULO FONSECA,4-2-3-1,4-2-3-1,94'49,48'48,0.51,20'32 (42%),13'28 (66%),7'04 (34%),28'16 (58%),15'00 (53%),13'16 (47%),3'38,3'07,3'37,3'24,3'07,3'39,5'28,3'03,4'59,5'04,3'58,5'44,11,15,9(4),9(2),0,1,7,8,2,6,6,5,9,4,4,1,2,1,5,11,6,19,295,429,0.82,0.87,21,22,104,185,170,222,4,3,43,37,11,21,0 (0),1 (1),109.316,25.397,74.9,9.019,103.376,24.977,68.553,9.846,6.8,6.5,12 (38%),7 (21%),13 (41%),20 (36%),9 (17%),26 (47%),0/0,0/0,2/3,1/1,0/0,0/0,0/1,0/0,0/2,2/6,0/0,0/0,FRANCESCO CAPUTO,9,EDIN DZEKO,9,4.0,4.0,1.8
2019-2020,22,JUVENTUS,FIORENTINA,02/02/2020,STADIUM ALLIANZ STADIUM,12:30:00,FABRIZIO  PASQUA,ALESSANDRO  LO CICERO,ALESSIO  TOLFO,FABIO  MARESCA,GIANPAOLO  CALVARESE,ALEANDRO DI PAOLO,3,0,H,MAURIZIO SARRI,GIUSEPPE IACHINI,4-3-3,3-5-2,98'18,53'55,0.55,37'09 (69%),15'49 (43%),21'20 (57%),16'46 (31%),11'00 (66%),5'46 (34%),7'21,7'09,6'19,4'38,4'12,7'30,1'47,3'41,2'37,2'30,3'38,2'32,8,7,8(3),5(0),2,0,5,3,0,2,5,4,7,2,1,0,3,1,10,5,9,13,630,169,0.88,0.71,30,17,235,75,365,77,4,2,70,97,7,11,2 (2),0 (0),105.359,28.542,68.36,8.457,104.403,26.52,70.429,7.454,6.3,6.4,24 (37%),4 (6%),37 (57%),6 (20%),9 (30%),15 (50%),2/3,1/1,2/4,2/6,0/0,0/0,0/0,1/1,3/3,0/1,0/0,0/0,CRISTIANO RONALDO,7,MARCO BENASSI,24,1.33,5.25,9.0
